Unnamed: 0,QID,Brand,Model,Question,Dialogue,Report
10,Q11,五菱汽车,五菱之光,五菱之光6376nf，自己装了铁将军防盗器，五线马达的白褐两根信号线接到什么地方去？我想实现一控三马达,技师说：你要是让主驾驶控制其他三个车门吗？是用遥控器吗？如果是这种情况的话，防盗主机，和中控主机都要全部接好才可以。|车主说：那白褐两根线接到哪里呢|车主说：能不能提供个图片|技师说：你说的是白和白黑这两个线吧。你现在连接的是什么触发呢？他这个可以接正触发，也可以正负触发，只用一个防盗主机就可以，还有付负触发|车主说：无论是遥控器还是起步刹车，四个马达都能使用，用的正负触发。不过不能用主驾驶控其他三个门，不知道主驾驶门马达的白，褐两根信号线接到什么地方去，百度上说接到中控盒，是这样吗？中控盒在哪里|技师说：只有用主驾驶无线电机，才用到这两个县的，他是接到中控盒的，就是按遥控器，防盗主机，收到信号控制中控盒中控和控制主驾驶电机，然后控制四个门锁动作。|技师说：[语音]|技师说：如果，是连接的，正负触发四个车门的电机直接上，两个线就可以了，就是绿色的和蓝色的。|车主说：绿蓝两线我接到防盗器的白，白黑二线上了，可驾驶门马达上还有白，褐两根信号线，怎样接才能一控三呢，|车主说：我的目的是想实现一控三|技师说：你必须连接，中控主机才可以控制的。你没有购买一整套的这个，东西吗？叫做中空防盗，这个是一块儿的。你目前连接的只是个防盗器，没有中控盒。|车主说：[图片]|车主说：我买的是这个，还有两个两线马达，两个五线马达，不对吗|车主说：[图片]|车主说：这是接线图|技师说：缺一个中控盒呀，没有呀|车主说：哦哦，那个盒子能单独买吧|技师说：是的，可以的，但是这个正常都是一整套东西。|车主说：单独买需要对频吗|车主说：我研究了好几天了，红线保险丝都烧了俩了|技师说：不需要的，它相当于一个继电器。直接把线路安装好就可以了，这个东西安装比较简单，这都是最简单的，控制电路。|车主说：哦哦，谢谢你了|技师说：不客气！祝您用车愉快！|车主说：再次感谢你|技师说：谢谢打赏已收到！|技师说：点击我的头像下方，关注我有疑问，随时为您解答|车主说：好的,要实现一控三马达，必须主驾，是接个五星的电极，然后就是要增加防盗主机，还有中控主机，这个全部连接起来以后，接负触发则可以控制。
11,Q12,丰田,花冠,丰田花冠行驶了十万公里皮带要换吗,技师说：正时皮带的话，像这种车型一般最多就是10万公里，最好是更换一次。因为皮带时间长了会出现老化，如果出现断裂的话，就会损坏发动机，造成车辆抛锚。|技师说：还有发电机的皮带的都需要检查一下，最多就是6到8万公里。就需要，检查，或者是更换新件。,现在这个公里数的话，最好是检查一下皮带，应该是有老化的现象，这个皮带。的寿命一般就是8到10万公里。建议最好是更换一下。
12,Q13,福特,新世代全顺,大师好！新时代全顺，中门板手多少钱啊？右门玻璃升降开关多少钱呢？,技师说：拉手价格60元，开关60元，拿货价格,拉手和升降开关价格在120左右，进货价格
13,Q14,本田,飞度,发动机工作状态踩离合感觉有点震脚有沙子似的，是不是分离轴承的问题。车速达到120左右感觉车抖，是不是半轴的问题。,技师说：离合器发出声音的话，完全是分离轴承的，发出的声音。车身抖动一般，和传动轴也有关系，但是要检查四个轮胎，如果轮胎变形严重的话，或者是轮毂，有轻微的变形，都会出现这种情况，一般都是些做轮胎动平衡。|车主说：离合器没听到声音，就是感觉有沙子似的轻微震脚，|车主说：轮毂新换的，刚做的动平衡|技师说：那这种情况都是分离轴承过来的声音。轮胎也检查确定没问题吧，这个轮胎的话也会影响这个抖动，而且这个轮胎时间长的话，花纹会出现高低不平的情况，还有变形的情况。半轴的话一般几率是非常小的。我建议你找同样的车型更换轮胎试一下。|车主说：速度越快抖的越严重|车主说：新车能给赔吗|技师说：四轮定位动平衡都做过了，都没问题吗？是的，先检查轮胎吧，半轴，如果有问题的话，一般只能做，替换实验。先把轮胎的问题排除了。为轮胎变形的这种情况出现，车身抖动有遇到很多。|车主说：这种情况|技师说：你去4s店，他会免费给你解决呀，轮胎也都是保修一年。免费给你处理呀|车主说：我换轮毂了|车主说：Te37|技师说：那你没换轮毂之前没出现这个抖动的问题吗？|车主说：没有，但是我换完之后做完动平衡，跑高速没有这症状啊，|车主说：就是涉水之后|车主说：我怕进水，把变速箱油机油都换了|车主说：其实根本没有进水，|车主说：进水空调泵头进水了，|车主说：之后毛病就多了|技师说：你的意思是经过水路以后，就出现了这种情况吗？那进水的话一般重要的就是离合器传动轴不发生碰撞的话，这个不会引起|技师说：你确定是车身抖动还是发动机引起来的呢。|车主说：说不好，就是高速越开约抖|车主说：离合器轻微都动和有沙子似的，能是分离轴承进水导致的吗|车主说：但是不没一脚都有，就是发动机转数越高越明显，完了有时候还没有|技师说：是的，这个响声肯定和进水是有很大关系的。肯定会信，能感觉到这个，那就是分离轴承的响声。这个抖动，如果怀疑是半轴的问题，这个一般得试车呀，试完车以后可以找相同的车装上试一下，因为他这个，传动轴，那眼睛看不出来，有变形，正常都是这样，来处理的。|车主说：4s店能索赔吗，分离轴承|车主说：他要是说没毛病怎么办|技师说：保修时间，根据车型不一样，保修时间也不一样，都是保修三年或6万公里，如果确定是质量问题，肯定是要索赔的呀|技师说：那也可以让他试一下，试驾车型或者其他的同样车型就可以知道了呀。|车主说：我试过我朋友我俩车一样|车主说：他的就没有|技师说：那就肯定是出现问题了。|车主说：他还说我矫情，说能开就行呗|车主说：分离轴承能进水吗，|技师说：这说明4s店只干挣钱的活，不挣钱的，就不想维修，你可以，给厂家打电话投诉他们说过这个问题，他们就会给你及时处理。|车主说：不是密封的吗|技师说：分离轴承，它中间是有间隙的，你要经过水泡的话，他肯定会容易进水。|技师说：安装在变速器壳里面，水太深的话，就会从那个缝隙进去。|车主说：[语音]|车主说：[语音]|车主说：[语音]|车主说：[语音]|技师说：[语音]|技师说：[语音]|技师说：[语音]|车主说：[图片]|技师说：能看到空调泵进水，造成生锈轴承损坏。如果拆下来分离轴承上面也有这种情况的话，都是进水造成的。|车主说：[图片]|车主说：[语音]|车主说：[语音]|车主说：[语音]|技师说：[语音]|车主说：[语音]|技师说：[语音]|技师说：[语音]|车主说：[语音]|车主说：[语音]|车主说：[语音]|技师说：[语音]|技师说：[语音]|车主说：[语音]|车主说：[语音]|车主说：[语音]|技师说：[语音]|技师说：[语音]|车主说：[语音]|车主说：[语音]|技师说：[语音]|车主说：要换的话三件套必须同时更换吗|车主说：不同时更换我可以投诉吗|技师说：是的。不更换的话，离合器压盘上面磨的这个应急和这个不一样。这个使用起来的话，还没有旧的好用。|车主说：谢谢你，我这个确定有问题了吧|车主说：必须要求更换对吗|技师说：你说的这种情况，那肯定就是有问题，正常踩下去是没有声音的。是的呀，有问题肯定要处理呀，要不多影响驾驶的心情呀。|技师说：不客气！祝您用车愉快！|车主说：我这个踩下去没有声音就是震脚感觉不舒畅|车主说：顺畅|车主说：踩着|车主说：离合器片不平我可以yaoqiu更换吗|车主说：要求|车主说：假如|车主说：[语音]|技师说：这个的话肯定是一块更换的，4s店要处理的话，他也不想再重新拆装一次。|技师说：点击我的头像下方，关注我有疑问，随时为您解答|车主说：谢谢已经关注|技师说：好的|车主说：早上我又试圈车|车主说：就是空挡的时候，油门2千多转的时候踩离合器稍微抖动|车主说：转数越高抖动越明显|技师说：踏板上能明显感觉到震动的感觉吧。|车主说：对|技师说：那这种情况明显就是分离轴承发出来的声音转速高了以后，轴承运转不平稳，就出现了这个声音,踩离合器的话出现这个离合器踏板，有震动的话，这个一般都是分离轴承有问题，这个需要检查抖动的话，和轮胎，还有这个传动系统。半轴有很大关系，这个需要做替换实验。
14,Q15,奇瑞,瑞虎5,你好，，我想咨询一下奇瑞瑞虎5的8位安全码是多少，，PIN安全码又是多少，，谢谢,技师说：你好，只能去4s店，提供有效证件，让他们从厂家查询|车主说：哦哦,这个安全码只能去售后服务站，提供有效证件从厂家获取
15,Q16,日产,天籁,最近几天后视镜这个eco图标亮了 听说是节能模式 可是我车上没有这个功能 请问是什么原因 怎么能关闭,技师说：你好，是有节油模式的，没有单独开关|技师说：这个图标一般都在仪表盘上出现|车主说：为什么我的会在后视镜|车主说：这个灯亮了代表什么|车主说：这个模式下是不是车会比较肉？|技师说：是的|技师说：省油模式|车主说：那怎么能让车不肉啊|技师说：爱车做过积炭清洗吗|车主说：没做过|技师说：建议清洗节气门积炭，喷油嘴积炭|车主说：我买的是二手车|技师说：检查火花塞，不行就换掉|技师说：需要做积炭清洗换火花塞|车主说：火花塞换过|车主说：换了没多长时间|技师说：那就需要做积炭清洗|车主说：你的意思是做个积碳清洗 就没有这个模式了吗|车主说：？？？|技师说：不是的|技师说：汽油滤芯换过吗|车主说：我也不知道 保养过 不知道换没换|车主说：就感觉车比较肉|车主说：怎么能让动力好点|车主说：方向盘也感觉有时候重|车主说：我该怎么弄弄 你帮我想想办法|技师说：清洗积炭换火花塞|技师说：如果是液压助力转向系统，建议换助力油,这个eco就是燃油的经济模式，开启此功能比较节油。有的车型是有单独的关闭开关，部分车型没有开关。建议爱车做积炭清洗换汽油滤芯
16,Q17,铃木,羚羊,长安铃木起步熄火.刹车熄火怎么处理,技师说：你好！检查下车子节气门和怠速阀是否有脏了，清洗干净节气门和怠速阀后重新匹配节气门试试，希望能帮到你！|车主说：请问那里可以维修.估计多少钱|技师说：你好！一般大型修理厂或车子品牌4S店都可以检查维修，价格需要检查车子故障原因才能知道需要多少钱,你好！车子故障现象需要检查下节气门和怠速阀是否脏了，如果脏了，清洗干净节气门和怠速阀后匹配节气门，希望能帮到你！
17,Q18,现代,名图,请问电动座椅已调至最低，可还是觉得高了能人工降低高度吗！,技师说：电动座椅的话，他只能通过开关调整，控制电机，调整这个支架来调整，人工的话是没法做调整的，如果人工能做调整的话，这个电机，它就没法正常的控制了。就会出现故障。|车主说：为什么1.73的身高调到最低头还是会顶到天窗，想着能不能怎么处理下|技师说：你看你车座的坐垫的厚度是不是比较大呢。坐直的话不能在里面坐的太直，一定要，稍微向下一点啊，你可以把靠背向后移动一点。我1米77开的现代瑞纳，座椅，调整不了的也没问题啊。你说的这款车我也驾驶过，没有遇到，说，有这种情况呀,他这个座椅的高度，如果是电动调节的话，就是靠电机来控制的，人工的话不能够调节。像这种情况的话，所以你检查一下坐垫儿厚度是不是太厚，另外就是把靠背稍微往后放点，这样的话就不会头顶挨着顶
18,Q19,宝马,宝马5系,宝马车有什么方法知道具体位置？喝酒喝多了车子不知道停在哪？,技师说：你好！可以按钥匙遥控按键解锁键或寻车键看看车子的双闪灯闪烁报警查看车子的位置，你可以参考下，希望能帮到你！|车主说：这么简单的事情我还用问你么？|车主说：就是不知道开到哪去了|车主说：要个具体方向|技师说：这个如果车子有安装GPS定位可以打电话到GPS公司平台查看车子的位置|车主说：应该安装了的|车主说：但是具体要怎么操作呢？|技师说：如果车子是安装有GPS定位功能是可以拔打GPS公司的电话查找车子的具体位置再告诉你|车主说：电话号码是多少？|车主说：能发给我一下么？|技师说：你好！一般车子安装GPS全球卫星定位时是会留有公司号码给车主客户的，看看您的通讯录是否有号码|车主说：好像没有|车主说：我们家的车好像不是自己安装的GPS！是车子本来就有的|车主说：跟导航一起的好像|技师说：您好！如果车子原车自带GPS定位功能，可以打电话到购买车子的售后服务看看是否能查找到车子的位置|车主说：好的,你好！车子安装了有GPS全球定位功能是可以咨询下4S店售后服务查询车子的位置的，你可以参考下，希望能帮到你！
19,Q20,长城,长城M2,换长城M2的发动机多少钱,技师说：换新的价格在7500.左右,全新突机价格在7500左右，进价
20,Q21,现代,瑞纳,请问大师现代瑞纳加美国狼头机油怎么样？5W30的，狼头机油好吗？,技师说：这个机油的级别对这个车型来说肯定没有问题，但是这个品牌的话，在市场上还真不多见，只要这个机油质量没问题是正品，都可以使用。,这个机油在市面上目前使用的量比较少，但是如果是正品的话，这个级别，对这个车来说是完全可以正常使用的。
21,Q22,雪佛兰,探界者,凌度行车记录仪河源安装点,技师说：这个没有具体安装点，修理店都可以，价格在60.左右,没有的，直接去修理店安装价格60-80.之间
22,Q23,荣威,荣威350,荣威350，10年的车，现在行驶过程中听到发动机汽门有响声，是否影响行驶，好维修吗?,技师说：这个气门的声音时间长了以后会有间隙正常磨损会发出这个声音，另外就是更换的机油质量有问题，也会出现这个声音，目前加速行驶，一切正常的话，这个不会受到影响。|车主说：加速行驶一切正常，明白啦，谢谢大师。|技师说：那你就正常使用就可以了，没有必要花费，维修。不客气！祝您用车愉快！|车主说：谢谢！,车辆在长时间运行，使用过程中会出现正常的磨损，会造成气门间隙增大，另外就是机油质量不好的话，也会出现这个问题，现在如果车辆提速加速一切正常的话，这个暂时不用维修。
23,Q24,现代,瑞纳,13年瑞纳现在噪音大，低速挡怠速不稳，积碳好像多啦，怎么处理,技师说：噪音大是发动机发出来的还是，行驶起来噪音大的这个车型的话轮胎，质量比较不好，容易变形，发出噪音。|技师说：怠速不稳定，这个要清洗一下节气门体，然后做个匹配就可以了，另外就是检查一下火花塞，点火情况，车辆现在行驶多少公里了呢。|车主说：68000公里，|车主说：好像是车轮，去年换的邓禄普，去年没有这莫大声音|技师说：哦。更换轮胎的话行驶了多少公里了？这个车的话普遍的，轮胎都会有噪音，而且这个轮胎，正常行驶起来气也不能太高，太高的话也会发出噪音。|车主说：也就跑啦10000多|技师说：哦。那你说的这种情况还是轮胎的噪音多一点，你检查一下轮胎的话，滑轮有没有偏磨的现象有没有出现，磨得高低不平的情况？|车主说：之前的是锦湖|车主说：滑轮是什么|技师说：锦湖的这个轮胎以前普遍都有问题。所以后来好多车型都更换了，邓禄普的，这个轮胎相对来说噪音还是比较小的。|技师说：这是龙胎，表面的花纹。|车主说：才一年能有问题吗|技师说：这个说不准，原车轮胎的话，有的也就是将近一年的时间就出现有变形的情况，这个和行驶的路况有关系，不过你说的这个噪音大的话，只要是行驶起来有这个声音，肯定是轮胎的问题或者轴承的问题，你先把轴承的问题排除了，那就是，轮胎的问题了。这种车尤其是前轮轴承容易发出声音，你得检查一下。|车主说：好的|技师说：先检查了，这个问题，只能是，一项一项的排除,首先这个噪音大，如果行驶起来出现这个问题，一般是先检查轮胎轴承是不是出现印象，轴承没问题，就是轮胎发出来的声音。清洗积炭一般主要就是清洗节气门体，进气系统，发动机燃烧室，还有这个，燃油系统的喷油嘴，这个都有专用的清洗剂，要定期做保养清洗。
24,Q25,现代,朗动,大师们你们好，我是现代朗动车最近我的右前轮的部位有响声，是噋噋的响，低速30迈速和倒车往右边打方向时比较响，这种响声一次困扰着我有好几个月了，去修理厂问了师傅说的方向机的事有的说是减震器顶胶的事，有些又说是平衡杆球头的事，请问这响声到底是从什么部位发出来的，请大师们给以准确的解答，谢谢！！！,技师说：根据你说的这种情况，这种响声在什么情况下比较严重的，过减速带和不平的路面会不会发出响声呢？底盘有没有检查过？如果球头的话有问题，或者脚头有问题，这个都可以检查出来，他会有松旷的地方。|技师说：减震器，顶胶有问题可以检查一下，搬下轮胎，看他有没有间隙，一般它上面有一个压力轴承，打方向的时候要跟着一块移动，它损坏的话也会发出声音，但是这个打方向可以在减震器的最上端，感受到。|车主说：过小小的护坡或者是小洞有响声，平路往右边打方向倒车往右边打方向都有响声|车主说：是不是刹车片松动了？|车主说：都检查过，球头没有松动的迹象|技师说：你的这个响声是摩擦的声音，还是比较清脆的声音呢。|技师说：刹车片不会松动，只有那个刹车分泵的那个回位支架，有时候时间长了会松动，这个你用脚踹一下，看有没有响声就可以知道，转向的话出现问题一般都是，减震器的压力，轴承也比较多一点。|车主说：以你判断，我的这种现象是什么地方发出的声音呢？|技师说：我感觉还是减震器上面的顶胶和压力轴承出现问题，，这个车系这个地方都容易出现问题，不是太大的问题。|车主说：压力轴承是在那部位？|车主说：更换多少钱呢？|技师说：压力轴承打开前机盖减震器的最上端。保修期是三年或6万公里，自费的话，材料费是，一百块钱左右不到，工时费的话，外面修理厂50到80。|车主说：是不是镶在顶胶里面的轴承呢？|技师说：是的，这个最好是，看一下顶胶有没有间隙，如果有婕茜最后一块更换效果比较好。|车主说：顶胶总成多少钱？|技师说：就是一百左右的材料费呀。,根据你现在检查的这种情况，底盘的平衡杆，胶套拉杆球头都没有松旷的地方，转向出现异响，有可能就是减震器的顶胶压力轴承出现问题了，这个先检查一下有没有间隙，转向的时候在减震器的上端，检查一下会不会出现响声，更换费用一对大概就是400左右
25,Q26,丰田,雷凌,驾驶座底部侧面凹进去30厘米得修多少钱,技师说：你好！这个修理厂修复喷漆大概是需要300元左右的价格，你可以参考下，希望能帮到你,你好！一般修理厂钣金修复喷漆是需要300元左右的价格，你可以参考下，希望能帮到你！
26,Q27,长安,逸动,我的是长安逸动三厢车，在过减速带的时候甩尾严重。前轮刹车右轮刹车片磨损严重，换过分泵以后依然如此。求大师指教,技师说：那你有没有检查一下后面的减震器，还有轮胎磨损的是一个什么情况？|技师说：ABS灯亮，你要看一下是不是有传感器工作不良？还是说这个线路又出现问题？|车主说：哦。后轮有一个该换了|车主说：减震器快速过坎直接到底|技师说：那你把这些检查的问题都一一一块处理，这个问题就可以了，很简单。|车主说：意思是先换轮胎？|技师说：对呀，你可以把前面的轮胎放在后面呀。轮胎的话肯定是必须要换的，你不处理，发现的问题，这个问题就排除不了|车主说：哦,这种情况你先把那个后面的轮胎该更换的处理一下，轮胎花纹不一样，肯定也会出现这种情况，另外就是减震器损坏的话也必须更换，处理了以后，才能检查其他地方有没有问题。
27,Q28,北汽幻速,北汽幻速S3,刚买的17款幻速S3驾驶座螺丝松动去4S处理要钱吗？ 用不用带上那个保养本本啊？,技师说：你好！车子还在质保期内去4S店检测是质量故障问题是可以免费维修的，可以带上购买车辆的资料去4S店检查下，希望能帮到你|车主说：哦，知道了，谢谢！,你好！车子还在质保期内，去4S店检测是出厂质量故障是可以免费维修的，希望能帮到你！
