Unnamed: 0,QID,Brand,Model,Question,Dialogue,Report
10,Q5011,沃尔沃,沃尔沃S40,大师好，请问老款沃尔沃s40正时皮带断了，现在正时怎么对吗？,技师 说 这款 车 需要 曲轴 转 到 一缸 压缩 上止 点 凸轮轴 曲轴 专用工具 定位 在 挂 正时 链条 的 时候 先 把 可变 正 时 固定 螺丝 松 了 挂 好 链条 上 好 张 紧器 然后 再 紧上 螺丝 下面 给 您 相关 参考 技师 说 技师 说 技师 说 如果 顶 气门 的话 还 需要 抬 缸盖 技师 说 最好 专用工具 定位 技师 说 看 上面 车主 说 没有 专用工具 车主 说 没有 顶 气门 技师 说 一样 吗 车主 说 技师 说 一样 吗 技师 说 没有 工具 只能 照 对 车主 说 一样 的 车主 说 现在 那个 曲轴 链轮 全部 拿 下来 了 没有 做 记号 怎么 对 技师 说 那就好 车主 说 技师 说 链轮 不是 皮带 的 吗 车主 说 不是 皮带轮 是 正时 皮带 的 链轮 技师 说 正时 皮带 哪来 的 链轮 技师 说 看 啊 技师 说 发给您 了 剩下 的 需要 您 自己 对 啦 车主 说 曲轴 皮带轮 的 里面 那个 正时 轮 车主 说 全掉 了 车主 说 拿下 皮带轮 的 时候 把 里面 那个 轮子 全 拔下来 了 技师 说 您 可以 发 几个 吗 车主 说 现在 不 在家 技师 说 上面 有 标记 对 好 安装 就行了 技师 说 技师 说 技师 说 技师 说 技师 说 技师 说 技师 说 技师 说 这些 您 看看 车主 说 一缸 上死点 怎么 看 技师 说 啊 火花塞 拆下来 改锥 塞进去 转 曲轴 技师 说 您 是 同行 吗 没有 这方面 经验 最好 找 老师傅 帮忙 避免 出错 技师 说 我 现在 出去 一下 有 问题 留言 我 看到 后会 在 第一 时间 回复 您 技师 说 最好 看到 发动机 再 和 您 细说 这样 说 您 不会 明白,这款车需要曲轴转到一缸压缩上止点凸轮轴位置标记对好机体12点方向的标记，曲轴标记差不多也在12点方向，下面给您相关图片参考
11,Q5012,大众,速腾,大众速腾315导航四维图新地图最新版本是哪一年的,技师 说 现在 是 年 的 不 建议 你 做 升级 因为 即使 升级 导航 还是 不准 现在 基本 没有 来店 升级 车主 说 你 哪里 能 升级 吗,导航可以进行升级，（每个4s店都可以，大约4-600）
12,Q5013,丰田,皇冠,这是什么毛病？清除故障码了，又出来？,技师 说 节气门 位置 传感器 问题 建议 你 找 专业 的 电脑 做 一下 节气门 初始化 匹配 车主 说 太 专业 了 吧 技师 说 不过 这个 故障 确实 需要 匹配 一下 节气门 车主 说 电脑 上 操作 吗 技师 说 是 的 车主 说 现在 开车 不 影响 吧 技师 说 只要 车辆 发动机 正常 提速 没有 问题 那 就 不 影响 车辆 正常 行驶,节气门位置传感器问题。建议你找专业的电脑做一下节气门初始化匹配。
13,Q5014,大众,速腾,各位老师好，我的车是大众速腾15年280旗舰版的，高配，原车导航是RNS315，我比较喜欢导航上的罗盘仪功能，车启动后在仪表盘上显示东西南北方向，感到很方便，就是地图是四维图新的，升级太慢了，现在大众厂家四维图新地图最新版本是什么,技师 说 年 的 车 可以 进行 导航 地图 升级 大约 左右 车主 说 最新 地图 版本 是 吗 车主 说 请 帮忙 指教 技师 说 升级 就是 订购 一个 内存卡 安装 在 你 的 车上 导航 上 具体 的 版本号 也 没 注意 我们 一年 也 不 做 一台 车 车主 说 看看 是 哪一年 的 版本 如何 是 年 的 我 要 一个 技师 说 你 去 店 订购 一个 技师 说 顺便 看 一下 你 导航系统 的 版本 车主 说 你 哪里 没有 啊 技师 说 我们 不 提供 线下 服务 哦 技师 说 导航 卡 订购 后 需要 店帮 你 激活 技师 说 每个 店 都 可以 进行 升级 车主 说店 说 没有 年 的 版本 技师 说 只有 年 的,原车导航升级需要到4s店购买升级卡。（最近年限）同时需要进行激活。
14,Q5015,别克,昂科威,我的车辆最近出现感应不到钥匙，更换了电子也是感应不到。到底哪里出错了？,技师 说 你 这种 情况 考虑 是 车辆 的 遥控器 输出 信号 不 稳定 造成 的 这种 故障 表现 需要 去 专门 配 汽车 钥匙 的 地方 重新 做 一下 车辆 遥控器 的 匹配 车主 说 两把 钥匙 都 没有 用 感觉 是 失灵 的 状况 车主 说 备用 钥匙 经常 放 家里 的 车主 说 去 了 店 检测 了 检测 不 出 任何 毛病 车主 说 这个 情况 怎么 处理 大师 技师 说 匹配 了 吗 车主 说 大师 方便 给 一下 您 的 号码 吗 技师 说 不好意思 汽车 大师 平台 不 允许 我们 留 联系方式 还 请 见谅 车主 说 我 已经 让 配钥匙 师傅 弄 过 了 车主 说 可是 师傅 说 的 是 什么 数据 丢失 了 车主 说 你 看 这个 怎么 处理 技师 说 什么 数据 丢失 技师 说 估计 是 钥匙 编码 吧 普通 的 外面 的 配钥匙 的 配 不了 需要 去 车主 说 反正 现在 车 的 智能 系统 已经 不管 用 了 车主 说 都 是 用 的 应急 启动 车辆 技师 说 维修 人员 没有 检查 出 问题 车主 说 是 的 技师 说 这种 情况 遥控器 钥匙 防盗 控制 模块 线路 都 有 影响 车主 说 那 咋办 技师 说 这种 故障 我 只是 给 你 大概 分析 具体 排查 还 需要 找 专业 的 维修 人员 帮 你 排查 用 电脑 读取 一下 防盗 系统 的 数据流 判断 车主 说 可是 也 查不出 所以然 来 我 还 能 到 哪里 去查 技师 说 当地 还有 没有 另一家 或者 是 别克 专修 车主 说 五家 都 去过 了 车主 说 还 能 怎么办 技师 说 车辆 还 在 不 在 质保 期内 车主 说 在 的 技师 说 这个 好办 直接 找 当地 的 电台 媒体 要求 向 厂家 反馈 故障 厂家 可以 下派 技术员 车主 说 这个 是不是 有点 夸张 技师 说 不 夸张 了 我 之前 就 遇到 过 一个 奥迪 车主 说 连 我 都 觉得 这个 比较 难办 技师 说 估计 还是 不愿 给 你 维修 敷衍 你,你好，你这种情况考虑是车辆的遥控器输出信号不稳定造成的，这种故障表现，，需要去专门配汽车钥匙的地方重新做一下车辆遥控器的匹配。
15,Q5016,日产,轩逸,日产轩逸报故障，左前预张紧器2开路,技师 说 这个 是 车辆 驾驶室 位置 的 安全带 底座 这 一块 有 问题 造成 的 故障 车辆 出过 事故 以后 安全带 底座 位置 需要 进行 修复 的 车主 说 修复 之后 出现 的 故障 技师 说 那 还是 没 修复 好 车主 说 车主 说 右前 修 了 车主 说 左前 没修 技师 说 左前 也 需要 修复 的 车主 说 车主 说 技师 说 是 的 修复 就 可以 解决问题 车主 说 技师 说 你 可以 关注 我 以后 有 问题 可以 一对一 咨询 我 车主 说 技师 说 哈哈,这个是车辆驾驶室位置的安全带底座这一块有问题造成的故障，车辆出过事故以后，安全带底座位置需要进行修复的。
16,Q5017,大众,高尔夫,高尔夫6七速自动挡，在挂入手动模式行驶一段路后。再次切换为自动模式D档时，会出现熄火系现象，尤其是低速转弯和1-2档的时候。然后松开油门在轻踩时可行驶，但电脑显示屏会出现手动1档（此时是D档位）。,技师 说速 双 离合器 变速箱 吗 车主 说 对 车主 说 技师 说 有 可能 机电 单元 或者 档位 开关 有 问题 需要 到 店 检查 确认 一下 车主 说好 的 谢谢您,根据你的描述，以及沟通情况，有可能是档位开关的问题，需要用电脑检查一下变速箱系统有没有故障代码。
17,Q5018,别克,英朗,导航的sd卡怎么拿下来啊。我是2016别克英朗15N自动豪华型车,技师 说 你 这款 车 是 原装 的 导航 还是 后 改装 的 导航 一体机 车主 说 是 在 我 屏幕 上装 的 导航 车主 说 不是 原装 的 技师 说 导航 上 的 卡 在 后面 的 导航 模块 里面 需要 拆下来 车主 说 回去 问装 的 人 的话 太远 了 车主 说 怎么 拆下来 在 哪 啊 技师 说 技师 说 导航 一体机 拆卸 后 在 后面 车主 说好 的 谢谢,导航上的卡在后面的导航模块里面，需要拆下来
18,Q5019,力帆汽车,力帆520,吉利全球鹰蚝油，不知道什么，差不多合八毛一公里，,技师 说 这种 情况 一般 是 车辆 发动机 积碳 问题 或者 是 火花塞 间隙 量过大 造成 的 这种 油耗 增高 的 现象 建议 你 去 修理厂 检查 下 火花塞 的 间隙 量 清洗 一下 进气道 积碳 和 三元催化 器 车主 说 这些 不 懂 车主 说 大概 要 多少 钱 技师 说 更换 新 的 火花塞 清洗 进气道 积碳 三元催化 器 全部 下来 大概 在 之内 车主 说好 谢谢 了,你好，这种情况一般是车辆发动机积碳问题或者是火花塞间隙量过大造成的，这种油耗增高的现象，建议你去修理厂检查下火花塞的间隙量，清洗一下进气道积碳和三元催化器。
19,Q5020,斯柯达,晶锐,11款晶锐，主驾玻璃升降开关，按有时候按上结果玻璃降，有时候按一下没反应，升副驾驶的玻璃，一键升到顶后有又自动降一点。副驾驶玻璃升降开关也偶尔没用，反正各种抓狂，按键不能每次正确执行指令。请问是什么原因，有可能是行车电脑故障吗，还是更换按键就能解决？,技师 说 车主 根据 你 的 描述 不是 行车 电脑 的 问题 有 可能 玻璃 升降器 开关 左 前门 不好 或者 玻璃 导槽 有 脏东西 或者 车门 铰链 线路 接触不良 车主 说 行车 电脑 故障 有 导致 这个 问题 的 可能性 吗 技师 说 可能性 很小 车主 说好 的 那 我 先换 开关 试试看 吧,根据你的描述，建议先清洗一下玻璃导槽，如果不行，需要更换玻璃升降器。
20,Q5021,奥迪,奥迪Q5,我的车，驾驶位置的窗户摇不下来了，按了按钮没反应，突然这样，不知道为什么？其他三个窗户都好好的,技师 说 先 检查一下 车辆 仪表 台 左侧 的 保险盒 里面 的 保险丝 是不是 有 问题 这种 故障 用 电脑 可以 调取 一下 相关 的 故障 码 进行 分析 技师 说 车主 说 这个 我 自己 能 看 吗 还是 得 找 修理厂 技师 说 技师 说 可以 自己 看 把 这个 板 撬开 技师 说 技师 说 号 看 下 车主 说 车主 说 看 了 我 能 干嘛 呢 技师 说 那 就 去 修理厂 检查一下 吧,你好，先检查一下车辆仪表台左侧的保险盒里面的保险丝是不是有问题？这种故障用电脑可以调取一下相关的故障码进行分析。
21,Q5022,英菲尼迪,英菲尼迪G系,我车买的是二手的，仪表盘有几个灯泡坏了，我车原来公里数是6万多公里。就暂时换一个仪表盘，装上去我的车公里数显示14万公里。这有没可能是车原来的公里数？,技师 说 你 这种 情况 确实 有 可能 是 车辆 仪表盘 用 专用 的 电脑 调 过 公里 数 车辆 仪表盘 拆卸 以后 重新 恢复程序 里面 的 公里 数 就 显示 出来 了 车主 说 因为 暂时 给 我 换 的 仪表盘 我 看 是 好像 车 拆出来 的 车主 说 我 之前 那个 仪表盘 他 说 拿 去 帮 我 修回 但是 换回 上去 技师 说 这个 不是 你 车辆 原来 的 公里 数 这 是 更换 仪表盘 里面 记忆 的 公里 数 技师 说 你 这种 情况 是 属于 正常 现象 没有 任何 问题 车主 说 所以 我车 应该 是 没 改过 公里 数 车主 说 因为 我 原来 那个 仪表盘 才 万公里 怎么 换 了 一个 变成 万公里 觉得 有点 不对劲 技师 说 没 问题 的 放心 吧 车主 说 就是 每个 仪表盘 都 有 记录 的 公里 数 每 一个 不 一样 技师 说 是 的 没错,这个不是你车辆原来的公里数，这是更换仪表盘里面记忆的公里数。你这种情况是属于正常现象，没有任何问题。
22,Q5023,大众,帕萨特,对正时的大众，车子着热了一直报4缸不发火怎么回事,技师 说 点火 线圈 互换 一下 测量 一下 汽缸 压力 车主 说 缸 压个 车主 说 点火 线圈 互换 了 还是 报缸 技师 说 缸 压低 了 技师 说 其他 的 也 这么 低 车主 说 其他 在 左右 技师 说 这车 做 过 什么 维修 车主 说 加速 到 转 故障 灯 就 不 闪 了 转速 上去 之后 不像 缺缸 的 样 啊 车主 说 怠速 故障 灯 就 闪 技师 说 转速 高 了 根本 看不出来 车主 说 就是 我 前天 问 你 可变 正时 的 车 车主 说凉车 就 很 稳 车主 说 着 一会 就 不行 了 技师 说 缸 压低 技师 说 检查 液压 挺住 以及 气门 车主 说 我 缸 筒 打 机油 比 之前 好 了 点 技师 说 这个 问题 需要 拆 缸盖 车主 说 这 发动机 有没有 往缸 筒 里面 喷 机油 的 喷嘴 技师 说 有 车主 说 我 怀疑 是不是 它 堵 了 技师 说 不是,根据你的描述以及沟通情况，如果缸压低，需要拆缸盖，检查气门，以及活塞环。
23,Q5024,雪铁龙,雪铁龙C5,你好！问一下，雪铁龙C5车，10款2.3换变速箱油用什么机油，用多少升,技师 说 重力 更换 需要 循环 机 更换 一次 需要 技师 说 自动 变速箱 油 美孚 道 达尔 都 可以 车主 说 大概 需要 多钱 车主 说 美孚 跟 道 达尔 那个 能 好点 车主 说 重力 加 好 还是 循环 加 好 技师 说 两种 油 差不多 都 可以 循环 机 更换 的话 更换 得 更加 彻底 车主 说油用 什么 型号 的 技师 说 自动 变速箱 油油 技师 说道 达尔 的 就 可以 车主 说 有 的 说 怎么 用 的 油 车主 说 美孚 用 的 用 什么 型号 的 油 技师 说,你好，重力更换需要4L  循环机更换一次需要12L
24,Q5025,奔驰,奔驰E级,1喇叭单声道 2左右大灯之前一直闪 之后右大灯不亮了 左灯还闪 3后牌照灯报警 4雷达右前一直报警 5空调中间转速时有哒哒声 6esp报警 定速巡航限速等不能使 基本除了喇叭和空调以外的问题全是和电有关系 上次原厂小电瓶坏了的时候也差不多是这些问题 我怀疑是差不多两年前换的小电瓶质量不行引起的这些问题,技师 说 有 电瓶 测试仪 吗 可以 测量 一下 电瓶 车主 说 有 两块 电瓶 一大 一小 大 的 着 车 左右 小 的 多 正常 吗 技师 说 电瓶 需要 使用 电瓶 测试仪 进行 检查 万用表 不准 的 技师 说 只是 一个 参考值 车主 说 正常值 是 多少 技师 说 正常 不 低于 车主 说 如果 不 低于 十二 电瓶 就 没事 呗 车主 说用 电脑 读 的 数据流 电压 正常 技师 说用 电瓶 测试仪 测量 电压 以及 电流,根据你的描述，以及之前维修情况，需要用电瓶测试仪检查电瓶，，必要时进行更换。
25,Q5026,雪铁龙,爱丽舍,9万公里的车 9年车龄 冷车可以启动 热车无法启动 马达哒一下后不转了然后无反应 电瓶不亏电,技师 说 这种 故障 原因 首先 检查一下 车辆 钥匙 门 的 点火 启动 电源线 是不是 有 输出 如果 确定 没有 问题 的话 排除 车辆 钥匙 门 的 问题 重点 检查一下 启动 继电器 和 启动 机 是否 有 问题 用 万用表 检测 一下 启动 电源线 在 启动 的 瞬间 的 电压 值 是 多少 车主 说 车子 并 不亏 电冷车 瞬间 就 启动 只有 热车 不 反应 试过 次 了 车主 说 有没有 可能 是 瓦拉 了 技师 说 可能性 不 大 技师 说 检测 一下 相关 的 线路 再说,你好，这种故障原因，首先检查一下车辆钥匙门的点火启动电源线是不是有输出？如果确定没有问题的话，排除车辆钥匙门的问题，重点检查一下启动继电器和启动机是否有问题。用万用表检测一下启动电源线在启动的瞬间的电压值是多少？
26,Q5027,奥迪,奥迪A4L,液压助力       时有时无,技师 说 这种 情况 首先 需要 检查一下 助力 油 是否 亏损 确定 助力 油 不 亏损 的 情况 下 有 可能 是 助力 泵 有 问题 造成 的 这种 故障 表现 车主 说 助力 泵 是 什么 问题 技师 说 是 通过 皮带 转动 给 车辆 助力 系统 提供 动力 的 时候 也就是说 车辆 启动 以后 方向 会 比较 轻 车主 说 如果 是 助力 泵 的话 为什么 时有时无 呢 技师 说 你 是 哪款 车型 确定 是 液压 助力 转向 吗 车主 说 是 的 车主 说 老款 技师 说 助力 泵 如果 内部 磨损 就 会 有 类似 故障 车主 说会 有 其它 问题 吗 车主 说时 重时 轻 技师 说 助力 泵 转向 机都 有 可能,您好，这种情况首先需要检查一下助力油是否亏损，确定助力油不亏损的情况下，有可能是助力泵有问题，造成的，这种故障表现。
27,Q5028,奥迪,奥迪A8,07h款  A8 4.2  拆卸过发电机，装上后烧皮带。什么原因？,技师 说 朋友 其他 的 地方 没动 过 需要 考虑 两 方面 的 原因 一个 是 发电机 皮带轮 皮带 槽 太细 另外 就是 发电机 皮带轮 跟 其他 的 轮 不 在 一条 直线 上 可以 跟 旧 的 发电机 对比 一下 车主 说 怠速 时候 吱吱响 转速 以上 就 没 声音 了 今天 断 了 以后 我 看 了 下 皮带 曹 磨平 了 技师 说 发电机 质量 不好 车主 说 有 啥 办法 解决 吗 声音 是 皮带 打 出来 的 发电机 没 噪音 啊 技师 说换 过 皮带 车主 说 皮带 新 的 跑 公里 才 技师 说 副 厂 皮带 弹性 差 就 容易 出现 异响 车主 说 修车 场 又 骗 我 车主 说 这个 问题 有换 发电机 的 必要 吗 技师 说店 一根 皮带 多 技师 说 你 去 店 确认 一下 车主 说好 谢谢 车主 说 哦 对 了 有 个 很 重要 的 问题 这 车 发电机 皮带 跟 水箱 是 一根 吗 没 皮带 长时间 开 没事 吧 技师 说 不行 的 技师 说 水温 高,根据你的描述，这是发电机皮带轮凹槽与皮带不匹配，建议更换原厂发电机。
28,Q5029,菲亚特,菲翔,菲亚特费翔油门重，五年了.5万公里，加速慢，相对以前，油门比以前重很多,技师 说 出现 这种 情况 建议 清洗 节气门 喷油嘴 同时 更换 火花塞 车主 说 清洗 加换 火花塞 没有 半年 技师 说 其他 的 不会 有 问题,根据目前车辆行驶里程首先需要清洗节气门，喷油嘴，同时需要更换火花塞。
